tick_us,arm_id,record_kind,meta_seed,meta_iteration_id,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j7_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j7_vel,j1_trq,j2_trq,j3_trq,j4_trq,j5_trq,j6_trq,j7_trq,ee_x,ee_y,ee_z,ee_qw,ee_qx,ee_qy,ee_qz,ee_fx,ee_fy,ee_fz,ee_tx,ee_ty,ee_tz,nav_dx,nav_dy,nav_dz,ttip_temp,irr_flow,suc_flow,co2_insuf,us_present,ala_uv,imri_active,estop_state,safety_zone,robot_state,heartbeat_ok,tick_align_flag
5000,ARM_3,MIXED,20260510,run_00001,0.2401,0.4207,0.4982,0.4551,0.2985,0.0695,-0.1752,0.263,0.1618,0.021,-0.1261,-0.2398,-0.2967,-0.2814,0.373,0.3966,0.3228,0.17,-0.0234,-0.2128,-0.3481,147.76,97.96,92.37,0.9689,0.2475,0.0,0.0,0.842,0.433,0.823,0.024,0.0444,0.0063,-0.016,0.036,-0.02,36.08,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
5000,ARM_4,MIXED,20260510,run_00001,0.3417,0.5005,0.3884,0.0713,-0.2878,-0.4897,-0.4289,0.22,0.0206,-0.188,-0.2974,-0.2441,-0.0623,0.1554,0.3953,0.3223,0.0754,-0.2111,-0.3877,-0.3535,-0.1296,163.11,143.14,98.3,0.9305,0.3664,0.0,0.0,0.693,0.042,0.767,0.0349,0.0372,0.011,-0.042,0.037,0.059,36.08,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
6000,ARM_1,MIXED,20260510,run_00001,-0.0016,-0.0003,0.0009,0.0014,-0.0,0.0,0.0012,0.3011,0.3008,0.2991,0.3009,0.2991,0.3003,0.2998,0.2565,0.2586,0.258,0.2584,0.2582,0.2586,0.2591,99.94,-0.04,79.96,1.0,0.0001,0.0,0.0,0.001,0.804,-0.007,0.0014,0.0497,-0.0003,-0.008,-0.042,0.014,36.01,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
6000,ARM_2,MIXED,20260510,run_00001,0.1229,0.2401,0.3414,0.4214,0.4755,0.4976,0.4918,0.2904,0.2628,0.2165,0.1642,0.0949,0.0194,-0.0543,0.3249,0.3739,0.3953,0.3951,0.3716,0.3237,0.2541,126.77,49.72,86.21,0.9922,0.1248,0.0,0.0,0.337,0.495,0.312,0.0129,0.0484,0.0052,-0.05,0.028,-0.06,35.94,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
6000,ARM_3,MIXED,20260510,run_00001,0.2401,0.4225,0.4983,0.4541,0.2993,0.0689,-0.1768,0.2639,0.1625,0.0209,-0.1236,-0.2406,-0.2962,-0.2784,0.3738,0.3969,0.3236,0.1722,-0.0238,-0.2139,-0.3493,147.67,97.98,92.42,0.9689,0.2475,0.0,0.0,0.838,0.439,0.82,0.0267,0.0439,0.007,0.025,0.062,0.112,36.05,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
6000,ARM_4,MIXED,20260510,run_00001,0.3409,0.4997,0.3869,0.0709,-0.2866,-0.4889,-0.4304,0.2204,0.022,-0.1885,-0.2953,-0.2459,-0.0644,0.1539,0.3965,0.3227,0.0755,-0.2133,-0.3853,-0.353,-0.1281,163.22,143.23,98.35,0.9305,0.3664,0.0,0.0,0.698,0.05,0.763,0.0316,0.0361,0.0097,-0.035,-0.11,0.003,36.04,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
7000,ARM_1,MIXED,20260510,run_00001,-0.0001,0.001,0.0007,0.0006,0.0023,-0.0004,0.0021,0.299,0.3001,0.3012,0.3003,0.3012,0.3009,0.3013,0.2573,0.2578,0.2569,0.2586,0.2563,0.2593,0.2595,99.99,0.03,80.04,1.0,0.0002,0.0,0.0,-0.0,0.811,0.003,-0.001,0.0486,-0.0001,-0.08,0.062,0.098,36.02,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
7000,ARM_2,MIXED,20260510,run_00001,0.125,0.2389,0.3411,0.4208,0.4736,0.4982,0.4921,0.2901,0.2623,0.2169,0.1615,0.0936,0.0219,-0.0535,0.3263,0.3746,0.3983,0.3948,0.3718,0.3237,0.2546,126.94,49.82,86.31,0.9922,0.1248,0.0,0.0,0.329,0.489,0.307,0.0123,0.0495,0.0048,0.006,0.019,-0.033,36.0,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
7000,ARM_3,MIXED,20260510,run_00001,0.2404,0.4197,0.4973,0.4543,0.3006,0.0717,-0.1746,0.264,0.1628,0.0207,-0.1252,-0.2386,-0.2972,-0.2823,0.3733,0.3975,0.3235,0.1697,-0.0261,-0.2123,-0.3497,147.73,97.96,92.34,0.9689,0.2476,0.0,0.0,0.844,0.424,0.814,0.0227,0.0429,0.0079,-0.01,-0.01,-0.002,36.12,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
7000,ARM_4,MIXED,20260510,run_00001,0.3427,0.4993,0.3886,0.0695,-0.2846,-0.4908,-0.4279,0.2184,0.0209,-0.188,-0.2979,-0.2465,-0.0607,0.1527,0.3967,0.3249,0.0752,-0.213,-0.3877,-0.353,-0.1315,163.2,143.17,98.3,0.9304,0.3664,0.0,0.0,0.696,0.038,0.765,0.0327,0.0351,0.0128,-0.028,0.032,-0.008,36.14,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
8000,ARM_1,MIXED,20260510,run_00001,-0.0007,0.0006,0.0005,-0.001,0.0014,0.002,0.0002,0.3007,0.2988,0.3011,0.3002,0.2989,0.3016,0.3014,0.2568,0.2557,0.2596,0.2584,0.2589,0.258,0.2583,99.96,0.09,80.0,1.0,0.0002,0.0,0.0,-0.001,0.806,0.006,-0.0005,0.0494,-0.0013,-0.04,-0.052,-0.038,36.03,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
8000,ARM_2,MIXED,20260510,run_00001,0.1245,0.2397,0.3413,0.4217,0.4744,0.5004,0.4919,0.2914,0.2637,0.2202,0.1614,0.0926,0.0206,-0.0543,0.3259,0.3727,0.3971,0.396,0.3709,0.3208,0.2555,126.95,49.74,86.25,0.9922,0.1249,0.0,0.0,0.333,0.495,0.309,0.0137,0.0481,0.004,-0.005,0.064,0.048,35.97,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
8000,ARM_3,MIXED,20260510,run_00001,0.2402,0.4211,0.5005,0.4532,0.2976,0.0698,-0.1757,0.2632,0.1632,0.0213,-0.1267,-0.2407,-0.2971,-0.2816,0.3753,0.395,0.3224,0.1694,-0.0244,-0.2123,-0.3511,147.71,97.98,92.49,0.9689,0.2476,0.0,0.0,0.846,0.432,0.823,0.0246,0.0431,0.0068,-0.149,-0.05,0.029,36.07,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
8000,ARM_4,MIXED,20260510,run_00001,0.342,0.4991,0.3878,0.0701,-0.2874,-0.4903,-0.428,0.2204,0.0199,-0.1874,-0.2958,-0.2444,-0.0627,0.1542,0.3979,0.3218,0.0764,-0.2117,-0.3853,-0.3545,-0.1299,163.12,143.3,98.28,0.9304,0.3665,0.0,0.0,0.699,0.034,0.768,0.0346,0.0373,0.0104,-0.058,-0.016,0.098,36.09,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
9000,ARM_1,MIXED,20260510,run_00001,0.0001,0.0007,-0.0005,0.0012,0.0006,0.0029,0.0022,0.3002,0.2994,0.3004,0.2991,0.2996,0.3001,0.3024,0.2569,0.257,0.2566,0.2592,0.2598,0.2591,0.259,99.89,-0.07,79.88,1.0,0.0002,0.0,0.0,-0.006,0.799,0.01,0.0015,0.0497,-0.0004,-0.037,-0.002,-0.058,36.01,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
9000,ARM_2,MIXED,20260510,run_00001,0.1231,0.2374,0.3416,0.4212,0.4751,0.4984,0.4911,0.2914,0.2623,0.2179,0.161,0.0945,0.0214,-0.054,0.3257,0.374,0.3979,0.3965,0.3712,0.3205,0.2534,126.91,49.82,86.26,0.9922,0.1249,0.0,0.0,0.34,0.485,0.31,0.0119,0.0489,0.0014,-0.021,0.077,0.078,36.04,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
9000,ARM_3,MIXED,20260510,run_00001,0.2405,0.422,0.4974,0.4543,0.2991,0.068,-0.178,0.2642,0.1616,0.0195,-0.1239,-0.241,-0.2971,-0.2823,0.3737,0.3974,0.3216,0.1704,-0.0243,-0.213,-0.3505,147.71,97.99,92.46,0.9689,0.2476,0.0,0.0,0.838,0.432,0.822,0.0232,0.0438,0.0076,-0.049,-0.068,0.044,36.13,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
9000,ARM_4,MIXED,20260510,run_00001,0.3385,0.499,0.389,0.0698,-0.2853,-0.49,-0.4301,0.2191,0.0207,-0.1876,-0.297,-0.245,-0.0616,0.155,0.3955,0.3238,0.0765,-0.2121,-0.3875,-0.3533,-0.1297,163.21,143.18,98.28,0.9304,0.3665,0.0,0.0,0.699,0.035,0.753,0.0348,0.0356,0.0108,-0.005,-0.07,0.016,36.09,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
10000,ARM_1,MIXED,20260510,run_00001,0.0011,0.0004,0.0019,0.0021,0.0022,0.0002,0.0025,0.3001,0.2983,0.3003,0.3011,0.2989,0.2988,0.3004,0.2593,0.2586,0.2585,0.2578,0.2584,0.2593,0.2587,100.03,-0.07,79.95,1.0,0.0002,0.0,0.0,-0.003,0.795,0.004,0.0002,0.0504,0.0004,0.001,0.091,-0.051,35.94,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
10000,ARM_2,MIXED,20260510,run_00001,0.1247,0.2386,0.3427,0.4224,0.4737,0.5002,0.4905,0.2902,0.2624,0.219,0.1609,0.095,0.0214,-0.0535,0.3266,0.3754,0.3978,0.3974,0.3725,0.3221,0.2542,126.94,49.79,86.22,0.9922,0.1249,0.0,0.0,0.328,0.495,0.309,0.0122,0.0494,0.0034,0.107,0.127,0.002,36.03,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
10000,ARM_3,MIXED,20260510,run_00001,0.2393,0.4208,0.5003,0.4558,0.3004,0.0709,-0.1762,0.2622,0.1606,0.0186,-0.1269,-0.2408,-0.2968,-0.2803,0.371,0.395,0.3239,0.1683,-0.0241,-0.2131,-0.3496,147.81,97.99,92.34,0.9689,0.2476,0.0,0.0,0.84,0.429,0.819,0.0236,0.0431,0.0061,-0.04,-0.027,0.021,36.13,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
10000,ARM_4,MIXED,20260510,run_00001,0.3404,0.4979,0.3899,0.0691,-0.2868,-0.4914,-0.4285,0.2217,0.02,-0.1873,-0.2958,-0.2452,-0.0626,0.1552,0.3965,0.3241,0.0748,-0.2139,-0.3846,-0.3517,-0.1291,163.07,143.2,98.23,0.9304,0.3665,0.0,0.0,0.694,0.039,0.764,0.0341,0.0366,0.0102,0.014,-0.082,0.034,36.14,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
11000,ARM_1,MIXED,20260510,run_00001,-0.0004,0.0011,0.0002,0.0011,0.0012,0.0027,0.0042,0.2999,0.2989,0.2986,0.3003,0.3015,0.301,0.2977,0.26,0.2599,0.259,0.2587,0.2578,0.2571,0.2585,99.97,0.11,79.99,1.0,0.0003,0.0,0.0,0.009,0.804,-0.0,-0.0002,0.0516,-0.0005,-0.039,0.118,-0.038,36.08,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
11000,ARM_2,MIXED,20260510,run_00001,0.1235,0.2405,0.3418,0.4223,0.4763,0.4999,0.4917,0.2907,0.2646,0.2183,0.1624,0.0936,0.0197,-0.0549,0.3259,0.3738,0.3967,0.3979,0.3723,0.3226,0.2535,126.87,49.83,86.24,0.9922,0.1249,0.0,0.0,0.331,0.488,0.308,0.0117,0.0483,0.0041,0.064,0.088,0.018,36.0,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
11000,ARM_3,MIXED,20260510,run_00001,0.2384,0.4209,0.4983,0.4536,0.2991,0.0693,-0.176,0.2627,0.16,0.0201,-0.1243,-0.2426,-0.2984,-0.2802,0.373,0.3971,0.3227,0.1687,-0.024,-0.2124,-0.3515,147.67,97.99,92.44,0.9688,0.2477,0.0,0.0,0.843,0.434,0.812,0.024,0.0453,0.0079,-0.075,-0.012,0.023,36.01,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
11000,ARM_4,MIXED,20260510,run_00001,0.3408,0.5005,0.3883,0.0707,-0.2887,-0.4904,-0.4305,0.2187,0.0212,-0.1888,-0.2971,-0.2436,-0.0621,0.1551,0.3981,0.3212,0.0756,-0.2128,-0.3844,-0.3525,-0.1295,163.06,143.17,98.25,0.9304,0.3665,0.0,0.0,0.697,0.041,0.762,0.0343,0.0383,0.0114,-0.1,0.058,-0.026,36.1,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
12000,ARM_1,MIXED,20260510,run_00001,0.0,0.0017,0.0012,0.0004,0.0019,0.0023,0.0025,0.2993,0.3008,0.2995,0.2989,0.3003,0.2977,0.3022,0.2573,0.2586,0.2562,0.2582,0.26,0.2607,0.2603,100.03,0.02,79.99,1.0,0.0003,0.0,0.0,0.008,0.801,0.002,0.0012,0.0511,0.0002,-0.028,0.064,0.086,36.08,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
12000,ARM_2,MIXED,20260510,run_00001,0.124,0.2408,0.3426,0.4217,0.4744,0.5,0.4918,0.2884,0.2642,0.2206,0.1607,0.0915,0.0195,-0.0551,0.3244,0.372,0.3964,0.3978,0.3708,0.3224,0.2535,126.89,49.83,86.24,0.9922,0.125,0.0,0.0,0.353,0.488,0.305,0.014,0.0486,0.0034,0.01,-0.048,-0.027,36.02,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
12000,ARM_3,MIXED,20260510,run_00001,0.2396,0.4218,0.4987,0.4526,0.2976,0.0709,-0.1769,0.2628,0.1621,0.0206,-0.1246,-0.2398,-0.2987,-0.2794,0.3722,0.3954,0.3227,0.1716,-0.025,-0.2145,-0.3488,147.76,97.94,92.4,0.9688,0.2477,0.0,0.0,0.841,0.434,0.816,0.0243,0.0442,0.0067,0.085,0.042,0.022,36.12,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
12000,ARM_4,MIXED,20260510,run_00001,0.3413,0.4979,0.3909,0.0694,-0.2865,-0.4893,-0.4283,0.2191,0.0211,-0.1884,-0.2959,-0.245,-0.0636,0.156,0.3987,0.323,0.0752,-0.2129,-0.387,-0.3523,-0.1293,163.16,143.21,98.37,0.9304,0.3666,0.0,0.0,0.704,0.039,0.754,0.0323,0.0374,0.0106,0.018,0.032,-0.004,36.17,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
13000,ARM_1,MIXED,20260510,run_00001,-0.0,0.0009,0.001,0.0019,0.0025,0.0035,0.0031,0.2992,0.2984,0.3006,0.3012,0.2994,0.3008,0.2984,0.2586,0.2576,0.2592,0.2599,0.2589,0.2599,0.2588,99.98,0.13,79.96,1.0,0.0003,0.0,0.0,-0.004,0.806,0.004,-0.0003,0.0507,-0.0018,0.059,-0.054,-0.017,35.98,0.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
13000,ARM_2,MIXED,20260510,run_00001,0.1247,0.2404,0.3424,0.4226,0.476,0.4981,0.4908,0.2913,0.262,0.2201,0.161,0.0935,0.0195,-0.0557,0.3254,0.3729,0.3966,0.3966,0.3709,0.3212,0.2544,126.89,49.79,86.24,0.9922,0.125,0.0,0.0,0.335,0.49,0.312,0.0108,0.0493,0.0042,-0.097,0.003,-0.009,35.98,30.0,0.0,0.0,0,0,0,0,OUTER,READY,1,1
13000,ARM_3,MIXED,20260510,run_00001,0.24,0.4221,0.4988,0.4543,0.2987,0.0678,-0.1767,0.2638,0.1625,0.0219,-0.1257,-0.2407,-0.2975,-0.2809,0.3724,0.3969,0.3236,0.1701,-0.0255,-0.2124,-0.35,147.77,97.97,92.38,0.9688,0.2477,0.0,0.0,0.838,0.426,0.815,0.0241,0.0442,0.0077,-0.057,0.007,0.083,36.1,30.0,25.0,0.0,0,0,0,0,OUTER,READY,1,1
13000,ARM_4,MIXED,20260510,run_00001,0.3407,0.4969,0.3888,0.0693,-0.2887,-0.4871,-0.4273,0.2185,0.0206,-0.1887,-0.2976,-0.2448,-0.0614,0.1539,0.3967,0.3222,0.0762,-0.2143,-0.385,-0.3537,-0.1289,163.13,143.18,98.3,0.9304,0.3666,0.0,0.0,0.695,0.038,0.762,0.0349,0.0362,0.0108,0.063,0.02,-0.062,36.11,0.0,0.0,0.0,1,0,0,0,OUTER,READY,1,1
