tick,phase,tip_x_mm,tip_y_mm,tip_z_mm,nearest_vessel,distance_mm,action,velocity_scale,force_soft_cap_n,e_stop
65,2,27.250,-45.000,-50.000,superior_mesenteric_vein,12.250,clear,1.0,3.0,False
66,2,26.900,-45.000,-50.000,superior_mesenteric_vein,11.900,clear,1.0,3.0,False
67,2,26.550,-45.000,-50.000,superior_mesenteric_vein,11.550,clear,1.0,3.0,False
68,2,26.200,-45.000,-50.000,superior_mesenteric_vein,11.200,clear,1.0,3.0,False
69,2,25.850,-45.000,-50.000,superior_mesenteric_vein,10.850,clear,1.0,3.0,False
70,2,25.500,-45.000,-50.000,superior_mesenteric_vein,10.500,clear,1.0,3.0,False
71,2,25.150,-45.000,-50.000,superior_mesenteric_vein,10.150,clear,1.0,3.0,False
72,2,24.800,-45.000,-50.000,superior_mesenteric_vein,9.800,clear,1.0,3.0,False
73,2,24.450,-45.000,-50.000,superior_mesenteric_vein,9.450,clear,1.0,3.0,False
74,2,24.100,-45.000,-50.000,superior_mesenteric_vein,9.100,clear,1.0,3.0,False
75,2,23.750,-45.000,-50.000,superior_mesenteric_vein,8.750,clear,1.0,3.0,False
76,2,23.400,-45.000,-50.000,superior_mesenteric_vein,8.400,clear,1.0,3.0,False
77,2,23.050,-45.000,-50.000,superior_mesenteric_vein,8.050,clear,1.0,3.0,False
78,2,22.700,-45.000,-50.000,superior_mesenteric_vein,7.700,clear,1.0,3.0,False
79,2,22.350,-45.000,-50.000,superior_mesenteric_vein,7.350,clear,1.0,3.0,False
80,2,22.000,-45.000,-50.000,superior_mesenteric_vein,7.000,clear,1.0,3.0,False
81,2,21.650,-45.000,-50.000,superior_mesenteric_vein,6.650,clear,1.0,3.0,False
82,2,21.300,-45.000,-50.000,superior_mesenteric_vein,6.300,clear,1.0,3.0,False
83,2,20.950,-45.000,-50.000,superior_mesenteric_vein,5.950,no_fly,0.5,2.5,False
84,2,20.600,-45.000,-50.000,superior_mesenteric_vein,5.600,no_fly,0.5,2.5,False
85,2,20.250,-45.000,-50.000,superior_mesenteric_vein,5.250,no_fly,0.5,2.5,False
86,2,19.900,-45.000,-50.000,superior_mesenteric_vein,4.900,no_fly,0.5,2.5,False
87,2,19.550,-45.000,-50.000,superior_mesenteric_vein,4.550,no_fly,0.5,2.5,False
88,2,19.200,-45.000,-50.000,superior_mesenteric_vein,4.200,no_fly,0.5,2.5,False
89,2,18.850,-45.000,-50.000,superior_mesenteric_vein,3.850,soft_warning,0.1,1.5,False
90,2,18.500,-45.000,-50.000,superior_mesenteric_vein,3.500,soft_warning,0.1,1.5,False
91,2,18.150,-45.000,-50.000,superior_mesenteric_vein,3.150,soft_warning,0.1,1.5,False
92,2,17.800,-45.000,-50.000,superior_mesenteric_vein,2.800,soft_warning,0.1,1.5,False
93,2,17.450,-45.000,-50.000,superior_mesenteric_vein,2.450,soft_warning,0.1,1.5,False
94,2,17.100,-45.000,-50.000,superior_mesenteric_vein,2.100,soft_warning,0.1,1.5,False
95,2,16.750,-45.000,-50.000,superior_mesenteric_vein,1.750,hard_stop,0.0,0.0,True
96,2,16.400,-45.000,-50.000,superior_mesenteric_vein,1.400,hard_stop,0.0,0.0,True
97,2,16.050,-45.000,-50.000,superior_mesenteric_vein,1.050,hard_stop,0.0,0.0,True
98,2,15.700,-45.000,-50.000,superior_mesenteric_vein,0.700,hard_stop,0.0,0.0,True
99,2,15.350,-45.000,-50.000,superior_mesenteric_vein,0.350,hard_stop,0.0,0.0,True
