iteration_id,seed,round,entrant_a,entrant_b,entrant_a_composite,entrant_b_composite,winner,confidence
5,20260518,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.359,80.204,PancreSpeed_1_0,0.972
5,20260518,3,PancreSpeed_1_0,Dutch_human_baseline,94.745,68.112,PancreSpeed_1_0,0.99
5,20260518,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.421,81.23,da_Vinci_Whipple_2030,0.606
6,20260519,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.631,83.581,PancreSpeed_1_0,0.868
6,20260519,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.089,81.08,PancreSpeed_1_0,0.934
6,20260519,3,PancreSpeed_1_0,Dutch_human_baseline,94.231,68.653,PancreSpeed_1_0,0.99
6,20260519,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.151,81.276,da_Vinci_Whipple_2030,0.563
7,20260520,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.492,82.96,PancreSpeed_1_0,0.851
7,20260520,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.758,80.189,PancreSpeed_1_0,0.952
7,20260520,3,PancreSpeed_1_0,Dutch_human_baseline,94.054,66.912,PancreSpeed_1_0,0.99
7,20260520,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.648,81.356,da_Vinci_Whipple_2030,0.61
8,20260521,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,92.878,83.806,PancreSpeed_1_0,0.802
8,20260521,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.636,81.739,PancreSpeed_1_0,0.897
8,20260521,3,PancreSpeed_1_0,Dutch_human_baseline,93.849,67.916,PancreSpeed_1_0,0.99
8,20260521,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.318,80.292,da_Vinci_Whipple_2030,0.634
9,20260522,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.14,84.867,PancreSpeed_1_0,0.776
9,20260522,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.597,81.232,PancreSpeed_1_0,0.912
9,20260522,3,PancreSpeed_1_0,Dutch_human_baseline,93.868,68.405,PancreSpeed_1_0,0.99
9,20260522,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.897,80.143,da_Vinci_Whipple_2030,0.658
10,20260523,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.875,83.458,PancreSpeed_1_0,0.847
10,20260523,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.541,81.679,PancreSpeed_1_0,0.895
10,20260523,3,PancreSpeed_1_0,Dutch_human_baseline,93.633,67.034,PancreSpeed_1_0,0.99
10,20260523,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.559,80.327,da_Vinci_Whipple_2030,0.608
11,20260524,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.166,83.414,PancreSpeed_1_0,0.825
11,20260524,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.268,81.487,PancreSpeed_1_0,0.926
11,20260524,3,PancreSpeed_1_0,Dutch_human_baseline,93.054,67.974,PancreSpeed_1_0,0.99
11,20260524,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.433,80.124,da_Vinci_Whipple_2030,0.644
12,20260525,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,92.84,83.629,PancreSpeed_1_0,0.807
12,20260525,2,PancreSpeed_1_0,Hugo_PDAC_2030,92.768,79.999,PancreSpeed_1_0,0.926
12,20260525,3,PancreSpeed_1_0,Dutch_human_baseline,94.185,68.089,PancreSpeed_1_0,0.99
12,20260525,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.091,81.25,da_Vinci_Whipple_2030,0.561
13,20260526,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.074,84.753,PancreSpeed_1_0,0.811
13,20260526,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.58,81.574,PancreSpeed_1_0,0.934
13,20260526,3,PancreSpeed_1_0,Dutch_human_baseline,93.683,68.27,PancreSpeed_1_0,0.99
13,20260526,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.535,80.335,da_Vinci_Whipple_2030,0.607
14,20260527,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,92.809,83.016,PancreSpeed_1_0,0.826
14,20260527,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.0,81.632,PancreSpeed_1_0,0.879
14,20260527,3,PancreSpeed_1_0,Dutch_human_baseline,93.452,67.615,PancreSpeed_1_0,0.99
14,20260527,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.59,80.296,da_Vinci_Whipple_2030,0.61
15,20260528,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.164,83.771,PancreSpeed_1_0,0.813
15,20260528,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.637,80.626,PancreSpeed_1_0,0.967
15,20260528,3,PancreSpeed_1_0,Dutch_human_baseline,93.388,67.584,PancreSpeed_1_0,0.99
15,20260528,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.487,81.071,da_Vinci_Whipple_2030,0.614
16,20260529,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.564,83.227,PancreSpeed_1_0,0.878
16,20260529,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.788,80.818,PancreSpeed_1_0,0.932
16,20260529,3,PancreSpeed_1_0,Dutch_human_baseline,94.035,68.38,PancreSpeed_1_0,0.99
16,20260529,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.273,81.304,da_Vinci_Whipple_2030,0.566
17,20260530,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.16,84.257,PancreSpeed_1_0,0.797
17,20260530,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.484,80.681,PancreSpeed_1_0,0.96
17,20260530,3,PancreSpeed_1_0,Dutch_human_baseline,93.94,67.699,PancreSpeed_1_0,0.99
17,20260530,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.408,80.134,da_Vinci_Whipple_2030,0.642
18,20260531,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,92.926,83.46,PancreSpeed_1_0,0.816
18,20260531,2,PancreSpeed_1_0,Hugo_PDAC_2030,92.917,81.57,PancreSpeed_1_0,0.878
18,20260531,3,PancreSpeed_1_0,Dutch_human_baseline,93.931,68.512,PancreSpeed_1_0,0.99
18,20260531,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,82.974,81.714,da_Vinci_Whipple_2030,0.542
19,20260532,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.661,84.733,PancreSpeed_1_0,0.831
19,20260532,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.414,80.386,PancreSpeed_1_0,0.934
19,20260532,3,PancreSpeed_1_0,Dutch_human_baseline,94.547,67.182,PancreSpeed_1_0,0.99
19,20260532,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.142,81.282,da_Vinci_Whipple_2030,0.562
20,20260533,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.461,82.914,PancreSpeed_1_0,0.852
20,20260533,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.428,80.847,PancreSpeed_1_0,0.919
20,20260533,3,PancreSpeed_1_0,Dutch_human_baseline,93.194,68.884,PancreSpeed_1_0,0.99
20,20260533,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.094,81.148,da_Vinci_Whipple_2030,0.598
21,20260534,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.195,83.766,PancreSpeed_1_0,0.814
21,20260534,2,PancreSpeed_1_0,Hugo_PDAC_2030,92.832,81.611,PancreSpeed_1_0,0.874
21,20260534,3,PancreSpeed_1_0,Dutch_human_baseline,93.15,68.275,PancreSpeed_1_0,0.99
21,20260534,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.339,80.964,da_Vinci_Whipple_2030,0.579
22,20260535,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.761,83.223,PancreSpeed_1_0,0.851
22,20260535,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.247,81.722,PancreSpeed_1_0,0.917
22,20260535,3,PancreSpeed_1_0,Dutch_human_baseline,93.414,67.938,PancreSpeed_1_0,0.99
22,20260535,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.326,81.687,da_Vinci_Whipple_2030,0.588
23,20260536,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.517,83.663,PancreSpeed_1_0,0.828
23,20260536,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.443,81.428,PancreSpeed_1_0,0.9
23,20260536,3,PancreSpeed_1_0,Dutch_human_baseline,94.399,68.297,PancreSpeed_1_0,0.99
23,20260536,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.88,80.384,da_Vinci_Whipple_2030,0.65
24,20260537,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.538,84.364,PancreSpeed_1_0,0.839
24,20260537,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.212,80.94,PancreSpeed_1_0,0.909
24,20260537,3,PancreSpeed_1_0,Dutch_human_baseline,92.861,67.569,PancreSpeed_1_0,0.99
24,20260537,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.223,80.455,da_Vinci_Whipple_2030,0.626
25,20260538,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.081,83.882,PancreSpeed_1_0,0.807
25,20260538,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.527,81.598,PancreSpeed_1_0,0.898
25,20260538,3,PancreSpeed_1_0,Dutch_human_baseline,94.244,67.208,PancreSpeed_1_0,0.99
25,20260538,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.4,81.248,da_Vinci_Whipple_2030,0.605
26,20260539,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.479,84.796,PancreSpeed_1_0,0.789
26,20260539,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.811,81.044,PancreSpeed_1_0,0.926
26,20260539,3,PancreSpeed_1_0,Dutch_human_baseline,94.08,68.66,PancreSpeed_1_0,0.99
26,20260539,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.391,81.484,da_Vinci_Whipple_2030,0.597
27,20260540,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.2,84.851,PancreSpeed_1_0,0.812
27,20260540,2,PancreSpeed_1_0,Hugo_PDAC_2030,92.864,81.586,PancreSpeed_1_0,0.876
27,20260540,3,PancreSpeed_1_0,Dutch_human_baseline,92.896,68.148,PancreSpeed_1_0,0.99
27,20260540,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.257,81.813,da_Vinci_Whipple_2030,0.581
28,20260541,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,92.921,84.475,PancreSpeed_1_0,0.782
28,20260541,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.717,79.972,PancreSpeed_1_0,0.99
28,20260541,3,PancreSpeed_1_0,Dutch_human_baseline,93.012,68.267,PancreSpeed_1_0,0.99
28,20260541,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.079,80.113,da_Vinci_Whipple_2030,0.599
29,20260542,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,93.824,83.249,PancreSpeed_1_0,0.852
29,20260542,2,PancreSpeed_1_0,Hugo_PDAC_2030,94.621,81.509,PancreSpeed_1_0,0.937
29,20260542,3,PancreSpeed_1_0,Dutch_human_baseline,93.191,67.066,PancreSpeed_1_0,0.99
29,20260542,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.766,81.639,da_Vinci_Whipple_2030,0.604
30,20260543,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.288,83.872,PancreSpeed_1_0,0.847
30,20260543,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.754,80.06,PancreSpeed_1_0,0.956
30,20260543,3,PancreSpeed_1_0,Dutch_human_baseline,94.464,66.96,PancreSpeed_1_0,0.99
30,20260543,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,84.645,81.088,da_Vinci_Whipple_2030,0.619
31,20260544,1,PancreSpeed_1_0,da_Vinci_Whipple_2030,94.543,84.555,PancreSpeed_1_0,0.833
31,20260544,2,PancreSpeed_1_0,Hugo_PDAC_2030,93.696,80.852,PancreSpeed_1_0,0.928
31,20260544,3,PancreSpeed_1_0,Dutch_human_baseline,93.687,67.193,PancreSpeed_1_0,0.99
31,20260544,4,da_Vinci_Whipple_2030,Hugo_PDAC_2030,83.538,81.01,da_Vinci_Whipple_2030,0.584
